student_number,name,name_ar,id_card,code_massar,points,subject
101,Ahmed,أحمد,TT2414,S129246589,10,المناخ
101,Ahmed,أحمد,TT2414,S129246589,10,التاريخ
101,Ahmed,أحمد,TT2414,S129246589,20,الرياضيات
101,Ahmed,أحمد,TT2414,S129246589,20,فزياء
101,Ahmed,أحمد,TT2414,S129246589,14,الكمياء
101,Ahmed,أحمد,TT2414,S129246589,10,topographiques
101,Ahmed,أحمد,TT2414,S129246589,20,اللغة الإنجليزية

103,Ahmed,أحمد,TT7614,S125456589,10,الرياضيات
103,Ahmed,أحمد,TT7614,S125456589,2,فزياء
103,Ahmed,أحمد,TT7614,S125456589,9,الكمياء
103,Ahmed,أحمد,TT7614,S125456589,5,topographiques
103,Ahmed,أحمد,TT7614,S125456589,9,الكمياء
103,Ahmed,أحمد,TT7614,S125456589,5,اللغة الإنجليزية
103,Ahmed,أحمد,TT7614,S125456589,9,الكمياء

106,Ahmed,أحمد,TT7614,S125456589,10,الرياضيات
106,Ahmed,أحمد,TT7614,S125456589,15,فزياء
106,Ahmed,أحمد,TT7614,S125456589,14,الكمياء
106,Ahmed,أحمد,TT7614,S125456589,5,topographiques
106,Ahmed,أحمد,TT7614,S125456589,14,الكمياء
106,Ahmed,أحمد,TT7614,S125456589,5,topographiques
106,Ahmed,أحمد,TT7614,S125456589,5,topographiques


105,Ahmed,أحمد,ZT7630,S936371O39,10,الرياضيات
105,Ahmed,أحمد,ZT7630,S936371O39,9,فزياء
105,Ahmed,أحمد,ZT7630,S936371O39,10,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,10,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,10,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,10,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,10,topographiques

107,Ahmed,أحمد,ZT9364,S993744823,10,الرياضيات
107,Ahmed,أحمد,ZT9364,S993744823,9,فزياء
107,Ahmed,أحمد,ZT9364,S993744823,10,topographiques
107,Ahmed,أحمد,ZT9364,S993744823,10,topographiques
107,Ahmed,أحمد,ZT9364,S993744823,10,topographiques
107,Ahmed,أحمد,ZT9364,S993744823,10,topographiques
107,Ahmed,أحمد,ZT9364,S993744823,10,topographiques
