email,password,role,name,subject,class,year
bansalem.rj@usmba.ac.ma,12341234,teacher,ذ.بنسالم,topographiques,S1,2023/2024
idris.zh@usmba.ac.ma,12341234,teacher,ذ.إدريس,cartes topographiques,S1,2023/2024
magda.sb@usmba.ac.ma,12341234,teacher,ذ.ماجدة,géographie populations,S1,2023/2024
souad.bn@usmba.ac.ma,12341234,teacher,ذ.سعاد,géomorphologie,S1,2023/2024
raja.bh@usmba.ac.ma,12341234,teacher,ذ.رجاء,histoire moyen maroc,S1,2023/2024
bouzkraoui.dr@usmba.ac.ma,12341234,teacher,ذ.بوزكراوي,sociologie,S1,2023/2024
bansalem.rj@usmba.ac.ma,12341234,teacher,ذ.بنسالم,compétences personnelles,S1,2023/2024
idris.zh@usmba.ac.ma,12341234,teacher,ذ.إدريس,compétences personnelles,S1,2023/2024
souad.bn@usmba.ac.ma,12341234,teacher,ذ.سعاد,compétences personnelles,S1,2023/2024
muhammed.am@usmba.ac.ma,12341234,teacher,ذ.محمد,francais (S1),S1,2023/2024
fatima-zahra.ms@usmba.ac.ma,12341234,teacher,ذ.فاطمة الزهراء,english (S1),S1,2023/2024


muhammed.hn@usmba.ac.ma,12341234,teacher,climat,S2,2023/2024
bansalem.rj@usmba.ac.ma,12341234,teacher,géographie maroc,S2,2023/2024
hassan.am@usmba.ac.ma,12341234,teacher,sociologie,S2,2023/2024
tarek.mj@usmba.ac.ma,12341234,teacher,histoire contemporaine maroc,S2,2023/2024
muhammad.zr@usmba.ac.ma,12341234,teacher,géographie pays,S2,2023/2024
muhammed.am@usmba.ac.ma,12341234,teacher,francais (S2),S2,2023/2024
fatima-zahra.ms@usmba.ac.ma,12341234,teacher,english (S2),S2,2023/2024
NONE.NONE@usmba.ac.ma,12341234,teacher,compétences numériques,S2,2023/2024




bansalem.rj@usmba.ac.ma,12341234,teacher,cartes topographiques,S1,2024/2025
idris.zh@usmba.ac.ma,12341234,teacher,géographie populations,S1,2024/2025
souad.bn@usmba.ac.ma,12341234,teacher,géomorphologie,S1,2024/2025
tarek.mj@usmba.ac.ma,12341234,teacher,histoire moyen maroc,S1,2024/2025
wasila.bn@usmba.ac.ma,12341234,teacher,introduction sociologie,S1,2024/2025
bansalem.rj@usmba.ac.ma,12341234,teacher,compétences personnelles,S1,2024/2025
idris.zh@usmba.ac.ma,12341234,teacher,compétences personnelles,S1,2024/2025
souad.bn@usmba.ac.ma,12341234,teacher,compétences personnelles,S1,2024/2025
muhammed.am@usmba.ac.ma,12341234,teacher,francais(S1),S1,2024/2025
fatima-zahra.ms@usmba.ac.ma,12341234,teacher,english (S1),S1,2024/2025


muhammed.hn@usmba.ac.ma,12341234,teacher,climat,S2,2024/2025
bansalem.rj@usmba.ac.ma,12341234,teacher,géographie maroc,S2,2024/2025
muhammad.zr@usmba.ac.ma,12341234,teacher,géographie pays,S2,2024/2025
muhammed.fs@usmba.ac.ma,12341234,teacher,compétences numériques,S2,2024/2025
wasila.bn@usmba.ac.ma,12341234,teacher,tendances classiques sociologie,S2,2024/2025
hisham.mr@usmba.ac.ma,12341234,teacher,histoire contemporaine maroc,S2,2024/2025
ali.ch@usmba.ac.ma,12341234,teacher,francais(S2),S2,2024/2025
zainab.fr@usmba.ac.ma,12341234,teacher,english (S2),S2,2024/2025


muhammed.hn@usmba.ac.ma,12341234,teacher,climat dynamique,S3,2024/2025
souad.bn@usmba.ac.ma,12341234,teacher,cartes géologiques,S3,2024/2025
sabah.sr@usmba.ac.ma,12341234,teacher,géographie pays,S3,2024/2025
souad.bn@usmba.ac.ma,12341234,teacher,géomorphologie structurale,S3,2024/2025
sabah.sr@usmba.ac.ma,12341234,teacher,géographie ville,S3,2024/2025
ali.wh@usmba.ac.ma,12341234,teacher,compétences artistiques,S3,2024/2025
ali.al-baqali@usmba.ac.ma,12341234,teacher,english (S3),S3,2024/2025
ali.ch@usmba.ac.ma,12341234,teacher,francais (S3),S3,2024/2025


muhammed.hn@usmba.ac.ma,12341234,teacher,géographie énergétique,S4,2024/2025
muhammed.hm@usmba.ac.ma,12341234,teacher,cartes sémologies,S4,2024/2025
bushra.sb@usmba.ac.ma,12341234,teacher,dynamique champ,S4,2024/2025
abdulsalam.sa@usmba.ac.ma,12341234,teacher,écosystemes,S4,2024/2025
