student_number,name,name_ar,id_card,code_massar,points,subject
101,Ahmed,أحمد,TT7614,S125456589,12,المناخ
101,Ahmed,أحمد,TT7614,S125456589,18,التاريخ
101,Ahmed,أحمد,TT7614,S125456589,3,الرياصيات
101,Ahmed,أحمد,TT7614,S125456589,12,فزياء
101,Ahmed,أحمد,TT7614,S125456589,11,الكمياء
101,Ahmed,أحمد,TT7614,S125456589,11,topographiques
100,Fatima,فاطمة,ZT7254,S187480789,12,topographiques


103,Ahmed,أحمد,TT7614,S125456589,15,الرياصيات
103,Ahmed,أحمد,TT7614,S125456589,2,فزياء
103,Ahmed,أحمد,TT7614,S125456589,9,الكمياء
103,Ahmed,أحمد,TT7614,S125456589,10,topographiques
103,Ahmed,أحمد,TT7614,S125456589,9,الكمياء
103,Ahmed,أحمد,TT7614,S125456589,5,topographiques
103,Ahmed,أحمد,TT7614,S125456589,12,الكمياء

106,Ahmed,أحمد,TT7614,S125456589,19,الرياصيات
106,Ahmed,أحمد,TT7614,S125456589,15,فزياء
106,Ahmed,أحمد,TT7614,S125456589,14,الكمياء
106,Ahmed,أحمد,TT7614,S125456589,12,topographiques
106,Ahmed,أحمد,TT7614,S125456589,14,الكمياء
106,Ahmed,أحمد,TT7614,S125456589,11,topographiques
106,Ahmed,أحمد,TT7614,S125456589,6,topographiques


105,Ahmed,أحمد,ZT7630,S936371O39,10,الرياصيات
105,Ahmed,أحمد,ZT7630,S936371O39,9,فزياء
105,Ahmed,أحمد,ZT7630,S936371O39,12,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,7,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,12,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,14,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,17,topographiques
