student_number,name,name_ar,id_card,code_massar,points,subject

101,Ahmed,أحمد,TT7614,S125456589,10,المناخ
101,Ahmed,أحمد,TT7614,S125456589,10,التاريخ
101,Ahmed,أحمد,TT7614,S125456589,20,الرياصيات
101,Ahmed,أحمد,TT7614,S125456589,20,فزياء
101,Ahmed,أحمد,TT7614,S125456589,14,الكمياء
101,Ahmed,أحمد,TT7614,S125456589,10,topographiques
101,Ahmed,أحمد,TT7614,S125456589,0,topographiques2


105,Ahmed,أحمد,ZT7630,S936371O39,20,الرياصيات
105,Ahmed,أحمد,ZT7630,S936371O39,9,فزياء
105,Ahmed,أحمد,ZT7630,S936371O39,12,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,7,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,12,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,14,topographiques
105,Ahmed,أحمد,ZT7630,S936371O39,17,topographiques
